"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";1;1
"22.02.2020";1;0
"23.02.2020";1;0
"24.02.2020";1;0
"25.02.2020";1;0
"26.02.2020";1;0
"27.02.2020";1;0
"28.02.2020";1;0
"29.02.2020";1;0
"01.03.2020";1;0
"02.03.2020";2;1
"03.03.2020";2;0
"04.03.2020";5;3
"05.03.2020";5;0
"06.03.2020";5;0
"07.03.2020";6;1
"08.03.2020";6;0
"09.03.2020";9;3
"10.03.2020";13;4
"11.03.2020";14;1
"12.03.2020";20;6
"13.03.2020";25;5
"14.03.2020";26;1
"15.03.2020";27;1
"16.03.2020";30;3
"17.03.2020";33;3
"18.03.2020";35;2
"19.03.2020";39;4
"20.03.2020";55;16
"21.03.2020";60;5
"22.03.2020";74;14
"23.03.2020";93;19
"24.03.2020";103;10
"25.03.2020";124;21
"26.03.2020";134;10
"27.03.2020";149;15
"28.03.2020";154;5
"29.03.2020";157;3
"30.03.2020";163;6
"31.03.2020";168;5
"01.04.2020";174;6
"02.04.2020";180;6
"03.04.2020";183;3
"04.04.2020";185;2
"05.04.2020";185;0
"06.04.2020";188;3
"07.04.2020";190;2
"08.04.2020";191;1
"09.04.2020";192;1
"10.04.2020";194;2
"11.04.2020";198;4
"12.04.2020";201;3
"13.04.2020";205;4
"14.04.2020";206;1
"15.04.2020";211;5
"16.04.2020";214;3
"17.04.2020";219;5
"18.04.2020";224;5
"19.04.2020";227;3
"20.04.2020";229;2
"21.04.2020";230;1
"22.04.2020";233;3
"23.04.2020";233;0
"24.04.2020";234;1
"25.04.2020";234;0
"26.04.2020";235;1
"27.04.2020";239;4
"28.04.2020";242;3
"29.04.2020";242;0
"30.04.2020";244;2
"01.05.2020";244;0
"02.05.2020";247;3
"03.05.2020";248;1
"04.05.2020";248;0
"05.05.2020";250;2
"06.05.2020";251;1
"07.05.2020";251;0
"08.05.2020";251;0
"09.05.2020";252;1
"10.05.2020";252;0
"11.05.2020";252;0
"12.05.2020";252;0
"13.05.2020";252;0
"14.05.2020";253;1
"15.05.2020";253;0
"16.05.2020";253;0
"17.05.2020";253;0
"18.05.2020";253;0
"19.05.2020";253;0
"20.05.2020";253;0
"21.05.2020";253;0
"22.05.2020";253;0
"23.05.2020";253;0
"24.05.2020";253;0
"25.05.2020";253;0
"26.05.2020";253;0
"27.05.2020";253;0
"28.05.2020";253;0
"29.05.2020";253;0
"30.05.2020";253;0
"31.05.2020";253;0
"01.06.2020";253;0
"02.06.2020";253;0
"03.06.2020";253;0
"04.06.2020";253;0
"05.06.2020";253;0
"06.06.2020";253;0
"07.06.2020";253;0
"08.06.2020";254;1
"09.06.2020";254;0
"10.06.2020";254;0
"11.06.2020";254;0
"12.06.2020";254;0
"13.06.2020";254;0
"14.06.2020";254;0
"15.06.2020";254;0
"16.06.2020";254;0
"17.06.2020";254;0
"18.06.2020";254;0
"19.06.2020";255;1
"20.06.2020";255;0
"21.06.2020";255;0
"22.06.2020";255;0
"23.06.2020";255;0
"24.06.2020";255;0
"25.06.2020";255;0
"26.06.2020";255;0
"27.06.2020";255;0
"28.06.2020";255;0
"29.06.2020";255;0
"30.06.2020";255;0
"01.07.2020";255;0
